property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_to_room_ratio
flat,imperia the esfera,sector 37c,0.85,5386.0,1578.165614556257,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2.0,3.0,3,9.0,South-East,Relatively New,1578.0,,1310.0,1.0,0.0,0.0,0.0,0.0,1,49,789.0828072781285
flat,aardhya homesh,sector 67a,1.85,8043.0,2300.136764888723,Carpet area: 2300 (213.68 sq.m.),4.0,4.0,0,4.0,East,Undefined,,,2300.0,0.0,0.0,0.0,0.0,0.0,1,0,575.0341912221808
flat,rof ananda,sector 95,0.2,5599.0,357.2066440435792,Carpet area: 366.08 (34.01 sq.m.),1.0,1.0,1,2.0,South-West,Relatively New,,,366.0802389999999,0.0,0.0,0.0,1.0,0.0,1,53,357.2066440435792
flat,satya element one,sector 49,0.87,19333.0,450.0077587544613,Carpet area: 450 (41.81 sq.m.),1.0,1.0,1,2.0,,Relatively New,,,450.0,0.0,0.0,0.0,0.0,0.0,1,22,450.0077587544613
flat,sidhartha ncr greens,sector 95,0.96,6201.0,1548.1373971940009,Carpet area: 1548 (143.81 sq.m.),3.0,3.0,3,8.0,,New Property,,,1548.0,0.0,0.0,1.0,1.0,0.0,1,8,516.045799064667
flat,m3m woodshire,sector 107,0.8,5856.0,1366.120218579235,Super Built up area 1366(126.91 sq.m.),2.0,2.0,3+,7.0,North-East,Relatively New,1366.0,,,0.0,0.0,0.0,0.0,0.0,0,165,683.0601092896175
house,independent,sector 47,4.6,26620.0,1728.0,Plot area 192(160.54 sq.m.),2.0,6.0,3+,4.0,,Moderately Old,,1728.0,,0.0,0.0,0.0,0.0,0.0,2,51,864.0
flat,smart world gems,sector 89,1.13,8500.0,1329.4117647058822,Carpet area: 1326 (123.19 sq.m.),3.0,3.0,2,4.0,,Under Construction,,,1326.0,1.0,0.0,0.0,0.0,0.0,1,115,443.1372549019607
flat,raheja sampada,sector 92,0.7,4453.0,1571.973950145969,Built Up area: 1572 (146.04 sq.m.),3.0,3.0,0,7.0,,Undefined,,1572.0,,0.0,0.0,0.0,0.0,0.0,1,0,523.991316715323
flat,dlf new town heights,sector 86,1.3,6735.0,1930.2152932442464,Super Built up area 1930(179.3 sq.m.),3.0,3.0,3,12.0,West,Moderately Old,1930.0,,,0.0,1.0,0.0,1.0,0.0,1,106,643.4050977480821
house,independent,sector 26,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),4.0,3.0,2,2.0,East,Relatively New,,1800.0,,0.0,0.0,1.0,0.0,0.0,1,21,450.0
flat,m3m latitude,sector 65,4.7,19747.0,2380.108370891781,Super Built up area 2380(221.11 sq.m.)Carpet area: 1231 sq.ft. (114.36 sq.m.),3.0,3.0,3+,9.0,North-East,Relatively New,2380.0,,1231.0,0.0,1.0,0.0,1.0,0.0,0,44,793.369456963927
flat,unitech uniworld gardens,sector 47,2.4,11505.0,2086.0495436766623,Super Built up area 2086(193.8 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3.0,4.0,3+,10.0,East,Moderately Old,2086.0,,1750.0,0.0,1.0,0.0,0.0,0.0,1,103,695.3498478922207
flat,conscient heritage max,sector 102,2.15,10004.0,2149.140343862455,Super Built up area 2149(199.65 sq.m.),3.0,4.0,3+,18.0,South,Relatively New,2149.0,,,1.0,1.0,0.0,0.0,0.0,0,134,716.3801146208184
flat,ss the leaf,sector 85,1.2,7317.0,1640.0164001640017,Super Built up area 1640(152.36 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,3,6.0,North,Relatively New,1640.0,1300.0,1000.0,0.0,0.0,0.0,0.0,0.0,0,174,820.0082000820008
flat,tulip violet,sector 69,1.4,9102.0,1538.1234893430014,Super Built up area 1538(142.88 sq.m.),3.0,3.0,1,12.0,North-West,Relatively New,1538.0,,,0.0,0.0,0.0,0.0,0.0,0,157,512.7078297810004
flat,m3m sierra 68,sector 68,1.1,8986.0,1224.1264188738037,Super Built up area 1224(113.71 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 830 sq.ft. (77.11 sq.m.),2.0,2.0,3,1.0,North-East,Relatively New,1224.0,1150.0,830.0,0.0,0.0,0.0,0.0,0.0,0,127,612.0632094369018
flat,m3m merlin,sector 67,3.5,14843.0,2358.013878595971,Super Built up area 2358(219.07 sq.m.),3.0,4.0,3+,15.0,South,Relatively New,2358.0,,,0.0,1.0,0.0,0.0,0.0,0,158,786.0046261986571
